Category,Feature/Component,Description,Estimated Hours,Notes
Project Setup,Initial Project Setup,CLI tool development and project scaffolding,4,"Custom CLI with prompts, template copying, package.json processing"
Project Setup,EAS Configuration,Build profiles and deployment setup,3,"Development, preview, and production profiles with channels"
Project Setup,TypeScript Configuration,Type definitions and tsconfig setup,2,"Expo router types, static files, translation enums"
Project Setup,Package Management,Dependencies and scripts configuration,2,"Build scripts, linting, formatting, deployment commands"

Development Tools,ESLint Configuration,Code quality and linting setup,3,"Custom eslint config, prettier integration, rules configuration"
Development Tools,Husky & Git Hooks,Pre-commit hooks and lint-staged setup,2,"Automated linting and formatting on commits"
Development Tools,Scripts Development,Utility scripts for development workflow,4,"SVG generation, log removal, translation sync"

Translation System,i18n Setup,Internationalization framework implementation,4,"React-i18next integration, language detection, RTL support"
Translation System,Translation Management,Dynamic translation loading and caching,3,"Google Sheets integration, async storage caching"
Translation System,Locale Configuration,Language files and localization setup,2,"English/Arabic support, dayjs localization"
Translation System,Translation Scripts,Automation for translation workflow,3,"Sync scripts, CSV generation, auto-translation tools"

Navigation & Routing,Expo Router Setup,File-based routing configuration,3,"Stack and tab navigation, nested routes"
Navigation System,Tab Navigation,Custom tab bar implementation,4,"Tab bar with icons, active states, custom styling"
Navigation System,Header Component,Reusable navigation header,3,"Back button, logo, notifications, customizable"
Navigation System,Screen Options,Dynamic screen configuration,2,"Header titles, parameters, navigation options"

State Management,Redux Store Setup,Global state management configuration,3,"Store setup, reducers, middleware configuration"
State Management,Auth Reducer,Authentication state management,2,"Login state, user data, token management"
State Management,App Reducer,Application-wide state management,1.5,"Theme, settings, app-wide data"
State Management,RTK Query Integration,API state management and caching,3,"API endpoints, caching, error handling"

UI Components - Atoms,Button Component,Reusable button with variants,3,"Primary, outlined, underlined variants with theming"
UI Components - Atoms,Text Component,Themed text component,2,"Typography system, color variants, auto-translation support"
UI Components - Atoms,Input Component,Form input with validation,3,"Text input, search input, password input with styling"
UI Components - Atoms,Icon Component,SVG icon system,2,"Icon wrapper, size variants, color theming"
UI Components - Atoms,Image Component,Optimized image component,1.5,"Image wrapper with loading states"
UI Components - Atoms,Loading Component,Loading indicators,1,"Activity indicators and loading states"
UI Components - Atoms,Logo Component,Brand logo component,1,"Scalable logo with theming support"
UI Components - Atoms,ParallaxScrollView,Animated scroll view,3,"Parallax effects, animated headers"
UI Components - Atoms,SeperateLine,Divider component,0.5,"Themed line separator"
UI Components - Atoms,SnackBar,Toast notifications,1.5,"Toast message integration"
UI Components - Atoms,ThemedView,Themed container component,1.5,"Color scheme support, RTL layout"
UI Components - Atoms,ExternalLink,External link component,1,"Web link handling"
UI Components - Atoms (Total),,"Total estimated hours for all atomic components",17,

UI Components - Molecules,Checkbox Component,Form checkbox with label,1.5,"Styled checkbox with validation"
UI Components - Molecules,Collapsible Component,Expandable content component,2,"Animated expand/collapse functionality"
UI Components - Molecules,FormInput Component,Enhanced form input,2,"Form integration, validation, error states"
